,station_name,station id,lon,lat,nbvi,fpar,fpar2,tem
0,茫崖,51886,90.85166667,38.25,0.0631,0.0,0.044514438040345806,18.30
1,冷湖,52602,93.33222222,38.74388889,0.0284,0.0,0.006462136681762018,19.80
2,托勒,52633,98.41805556,38.80861111,0.1695,0.15272,0.16655535821794104,12.40
3,野牛沟,52645,99.5425,38.45833333,0.177,0.16141999999999998,0.17551804374240587,11.40
4,祁连,52657,100.2416667,38.17611111,0.1094,0.083004,0.09653640467100828,14.70
5,小灶火,52707,93.67833333,36.79833333,0.2008,0.189028,0.20432783783783784,20.20
6,大柴旦,52713,95.35277778,37.85222222,0.0887,0.058991999999999996,0.07309003950400526,18.80
7,德令哈,52737,97.37583333,37.37444444,0.1773,0.161768,0.17587767472954907,18.90
8,天峻,52745,99.01916667,37.29583333,0.1165,0.09124000000000002,0.10465271646859084,12.20
9,刚察,52754,100.1377778,37.33055556,0.1349,0.11258399999999999,0.12587264709282164,12.80
10,门源,52765,101.6102778,37.37888889,0.0822,0.05145199999999999,0.06579173894094575,14.40
11,格尔木,52818,94.90833333,36.42055556,0.0997,0.07175199999999998,0.08551003332222591,21.10
12,诺木洪,52825,96.42916667,36.44055556,0.1875,0.17359999999999998,0.1881576923076923,20.80
13,乌兰,52833,98.48861111,36.93,0.2037,0.19239199999999998,0.20787819038050986,17.30
14,都兰,52836,98.09638889,36.29583333,0.114,0.08834,0.10179040632054179,16.60
15,茶卡,52842,99.075,36.78805556,0.083,0.05238,0.06668838604143947,15.90
16,海晏,52853,101.0105556,36.90111111,0.1872,0.173252,0.18779503937007874,13.70
17,湟源,52855,101.2516667,36.69,0.161,0.14286,0.15646168057210968,16.20
18,共和,52856,100.6186111,36.27444444,0.082,0.051219999999999995,0.06556764705882352,17.20
19,大通,52862,101.6591667,36.96611111,0.1294,0.10620399999999999,0.11950094417643002,16.90
20,互助,52863,101.9475,36.82166667,0.142,0.12081999999999998,0.13413531468531467,17.00
21,西宁,52866,101.7330556,36.66444444,0.1629,0.14506399999999997,0.1587121096643173,17.60
22,贵德,52868,101.3694444,36.01611111,0.1032,0.07581199999999999,0.08948047279214985,20.60
23,湟中,52869,101.5769444,36.495,0.1236,0.09947600000000001,0.11280850296668186,16.20
24,乐都,52874,102.4038889,36.48861111,0.2663,0.26500799999999997,0.2868878192721821,20.80
25,民和,52876,102.8394444,36.32527778,0.1243,0.10028799999999999,0.11361476875642343,22.70
26,化隆,52877,102.2575,36.10333333,0.0954,0.06676399999999999,0.08064446385142603,15.30
27,五道梁,52908,93.08083333,35.21583333,0.0801,0.049016,0.06344016414827702,7.60
28,兴海,52943,99.97972222,35.59083333,0.249,0.24494,0.264570639147803,13.10
29,贵南,52955,100.74,35.58666667,0.1401,0.118616,0.13191999883707406,14.70
30,同德,52957,100.5975,35.24416667,0.108,0.08138000000000001,0.09494058295964125,14.80
31,尖扎,52963,102.0075,35.93638889,0.1433,0.12232800000000002,0.13565283413096768,20.20
32,泽库,52968,101.4705556,35.03861111,0.1032,0.07581199999999999,0.08948047279214985,11.20
33,循化,52972,102.4575,35.85416667,0.1058,0.07882800000000001,0.09243587340639678,22.00
34,同仁,52974,102.0338889,35.54527778,0.0973,0.068968,0.08279269192422731,18.30
35,沱沱河,56004,92.4375,34.21666667,0.0826,0.051916,0.06624000654022236,9.70
36,治多,56016,95.6175,33.85444444,0.0646,0.0,0.04617656831302115,11.50
37,杂多,56018,95.29527778,32.89305556,0.0653,0.0,0.0469527367069648,12.90
38,曲麻莱,56021,95.80611111,34.12861111,0.1327,0.11003200000000002,0.12332096506399173,11.10
39,玉树,56029,96.96416667,33.00138889,0.2189,0.210024,0.22663636794264502,14.00
40,玛多,56033,98.21583333,34.91722222,0.1013,0.07360799999999998,0.0873239601646823,9.50
41,清水河,56034,97.13777778,33.80527778,0.0918,0.062588,0.07658134551860825,9.00
42,玛沁,56043,100.2366667,34.475,0.0864,0.05632399999999999,0.07050415061295973,12.10
43,甘德,56045,99.89277778,33.96166667,0.1039,0.076624,0.09027565785068631,10.60
44,达日,56046,99.6475,33.75777778,0.1039,0.076624,0.09027565785068631,11.40
45,河南,56065,101.6011111,34.73444444,0.12,0.0953,0.10866818181818184,12.40
46,久治,56067,101.4819444,33.42944444,0.0891,0.05945599999999999,0.07354014381381051,11.90
47,囊谦,56125,96.48,32.20361111,0.1133,0.087528,0.1009898308334273,15.40
48,斑玛,56151,100.7419444,32.93083333,0.1585,0.13996,0.15350561497326204,13.50
