站点名,区站号,纬度,经度,海拔（m）
祁连国家基本气象站,52657,38.1833,100.25,2787.4
达日国家基准气候站,56046,33.75,99.65,3967.5
大通国家基本气象站,52862,37.0333,101.55,2450
玉树国家基本气象站,56029,33.0167,97.0167,3681.2
玛多国家基准气候站,56033,34.9167,98.2167,4272.3
海晏国家基本气象站,52853,36.9167,100.9833,3010
大柴旦国家基准气候站,52713,37.85,95.3667,3173.2
久治国家基准气候站,56067,33.4333,101.4833,3628.5
同德国家基本气象站,52957,35.2667,100.65,3148.1
杂多国家基准气候站,56018,32.9,95.3,4066.4
班玛国家基本气象站,56151,32.9333,100.75,3530
门源国家基本气象站,52765,37.3833,101.6167,2850
贵南国家基本气象站,52955,35.5833,100.75,3120
都兰国家基本气象站,52836,36.3,98.1,3189
乐都国家基本气象站,52874,36.4833,102.3833,1980.9
湟中国家基本气象站,52869,36.5167,101.5667,2667.5
化隆国家基本气象站,52877,36.1,102.2667,2834.7
湟源国家基本气象站,52855,36.6833,101.2333,2676
清水河国家基本气象站,56034,33.8,97.1333,4415.4
尖扎国家基本气象站,52963,35.9333,102.0333,2085.7
天峻国家基本气象站,52745,37.3,99.0333,3417.1
沱沱河国家基准气候站,56004,34.2167,92.4333,4533.1
互助国家基本气象站,52863,36.8167,101.95,2480
西宁国家基本气象站,52866,36.6167,101.7667,2295.2
托勒国家基本气象站,52633,38.8167,98.4167,3367
五道梁国家基本气象站,52908,35.2167,93.0833,4612.2
格尔木国家基准气候站,52818,36.4167,94.9,2807.6
小灶火国家基本气象站,52707,36.6667,93.5167,2767
囊谦国家基准气候站,56125,32.2,96.4833,3643.7
玛沁国家基本气象站,56043,34.4667,100.25,3719
同仁国家基本气象站,52974,35.5167,102.0167,2491.4
共和国家基本气象站,52856,36.2667,100.6167,2835
甘德国家基本气象站,56045,33.9667,99.9,4050
冷湖国家基准气候站,52602,38.8333,93.3833,2770
诺木洪国家基准气候站,52825,36.4333,96.4167,2790.4
民和国家基准气候站,52876,36.3167,102.85,1813.9
茫崖国家基准气候站,51886,38.35,90.2167,2944.8
茶卡国家基准气候站,52842,36.7833,99.0833,3087.6
循化国家基本气象站,52972,35.8333,102.55,1870.3
德令哈国家基本气象站,52737,37.3667,97.3667,2981.5
治多国家基本气象站,56016,33.85,95.6,4179.1
泽库国家基本气象站,52968,35.0333,101.4667,3662.8
曲麻莱国家基本气象站,56021,34.55,95.4833,4175
刚察国家基准气候站,52754,37.3333,100.1333,3301.5
河南国家基本气象站,56065,34.2,101.5667,3500
野牛沟国家基准气候站,52645,38.4167,99.5833,3320
兴海国家基准气候站,52943,35.5833,99.9833,3323.2
贵德国家基本气象站,52868,36.0333,101.4333,2237.1
乌兰国家基本气象站,52833,36.9167,98.4833,2950
平安国家基本气象站,52875,36.5,102.1,2125
