站点名,区站号,纬度,经度,区县,面积
祁连国家基本气象站,52657,38.1833,100.25,祁连县,1.4317524994734845
达日国家基准气候站,56046,33.75,99.65,达日县,1.4100642797193133
大通国家基本气象站,52862,37.0333,101.55,大通回族土族自治县,0.32027829096290517
玉树国家基本气象站,56029,33.0167,97.0167,玉树市,1.4834088582682237
玛多国家基准气候站,56033,34.9167,98.2167,玛多县,2.411565748460713
海晏国家基本气象站,52853,36.9167,100.9833,海晏县,0.4518371651605555
大柴旦国家基准气候站,52713,37.85,95.3667,海西蒙古族藏族自治州直辖,2.26261950411359
久治国家基准气候站,56067,33.4333,101.4833,久治县,0.8019444252696456
同德国家基本气象站,52957,35.2667,100.65,同德县,0.463563115838087
杂多国家基准气候站,56018,32.9,95.3,杂多县,3.434293477138125
班玛国家基本气象站,56151,32.9333,100.75,班玛县,0.6169753319624002
门源国家基本气象站,52765,37.3833,101.6167,门源回族自治县,0.649352103204881
贵南国家基本气象站,52955,35.5833,100.75,贵南县,0.6619653263519182
都兰国家基本气象站,52836,36.3,98.1,都兰县,4.530636018910918
乐都国家基本气象站,52874,36.4833,102.3833,乐都区,0.24919802712224412
湟中国家基本气象站,52869,36.5167,101.5667,湟中区,0.24558272237747458
化隆国家基本气象站,52877,36.1,102.2667,化隆回族自治县,0.27019885196617976
湟源国家基本气象站,52855,36.6833,101.2333,湟源县,0.15519330160764752
清水河国家基本气象站,56034,33.8,97.1333,称多县,1.427149918677571
尖扎国家基本气象站,52963,35.9333,102.0333,尖扎县,0.1551724626260977
天峻国家基本气象站,52745,37.3,99.0333,天峻县,2.6278629607021835
沱沱河国家基准气候站,56004,34.2167,92.4333,格尔木市,11.845908791392322
互助国家基本气象站,52863,36.8167,101.95,互助土族自治县,0.3389863332661788
西宁国家基本气象站,52866,36.6167,101.7667,城中区,0.015587797706865003
托勒国家基本气象站,52633,38.8167,98.4167,祁连县,1.4317524994734845
五道梁国家基本气象站,52908,35.2167,93.0833,曲麻莱县,4.596659764284555
格尔木国家基准气候站,52818,36.4167,94.9,格尔木市,11.845908791392322
小灶火国家基本气象站,52707,36.6667,93.5167,格尔木市,11.845908791392322
囊谦国家基准气候站,56125,32.2,96.4833,囊谦县,1.1548505452468818
玛沁国家基本气象站,56043,34.4667,100.25,玛沁县,1.3226568747366032
同仁国家基本气象站,52974,35.5167,102.0167,同仁市,0.3191089994107446
共和国家基本气象站,52856,36.2667,100.6167,共和县,1.67023436023949
甘德国家基本气象站,56045,33.9667,99.9,甘德县,0.6953439238674369
冷湖国家基准气候站,52602,38.8333,93.3833,茫崖市,5.00285654974603
诺木洪国家基准气候站,52825,36.4333,96.4167,都兰县,4.530636018910918
民和国家基准气候站,52876,36.3167,102.85,民和回族土族自治县,0.19102117531731422
茫崖国家基准气候站,51886,38.35,90.2167,茫崖市,5.00285654974603
茶卡国家基准气候站,52842,36.7833,99.0833,乌兰县,1.2390077379685929
循化国家基本气象站,52972,35.8333,102.55,循化撒拉族自治县,0.18167952493047493
德令哈国家基本气象站,52737,37.3667,97.3667,德令哈市,2.838936514915382
治多国家基本气象站,56016,33.85,95.6,治多县,7.954977786010187
泽库国家基本气象站,52968,35.0333,101.4667,泽库县,0.680617339498382
曲麻莱国家基本气象站,56021,34.55,95.4833,曲麻莱县,4.596659764284555
刚察国家基准气候站,52754,37.3333,100.1333,刚察县,0.9839883105816751
河南国家基本气象站,56065,34.2,101.5667,河南蒙古族自治县,0.6580500688814571
野牛沟国家基准气候站,52645,38.4167,99.5833,祁连县,1.4317524994734845
兴海国家基准气候站,52943,35.5833,99.9833,兴海县,1.2062186173493035
贵德国家基本气象站,52868,36.0333,101.4333,贵德县,0.35131945890305255
乌兰国家基本气象站,52833,36.9167,98.4833,乌兰县,1.2390077379685929
平安国家基本气象站,52875,36.5,102.1,平安区,0.07406310700525465
